iter	Accuracy	MultiClass
0	0.7215151515	1.05556303
1	0.7243771044	1.019446118
2	0.7244781145	0.9863267097
3	0.7319191919	0.956364185
4	0.7312962963	0.9302803588
5	0.7318855219	0.9069299249
6	0.7326599327	0.886407161
7	0.7333164983	0.8668293165
8	0.7344444444	0.848529359
9	0.7363636364	0.8317670938
10	0.7373400673	0.8163500331
11	0.7365993266	0.8018694392
12	0.7358754209	0.7888928951
13	0.7363636364	0.7775812246
14	0.7373905724	0.7666513373
15	0.737962963	0.7569054009
16	0.7378282828	0.7477154123
17	0.7377946128	0.7389011418
18	0.7384343434	0.730672332
19	0.7385521886	0.7227242832
20	0.7393265993	0.7154152266
21	0.7389225589	0.7090474651
22	0.7393265993	0.7026458769
23	0.7404882155	0.6963489639
24	0.7404882155	0.6912655821
25	0.7408417508	0.6860973
26	0.7414141414	0.6809120798
27	0.7418013468	0.676527996
28	0.7428619529	0.6712503965
29	0.7446296296	0.666743517
30	0.7454040404	0.6626652367
31	0.7456397306	0.6589441583
32	0.7468686869	0.6540856171
33	0.7466498316	0.6503919144
34	0.7481313131	0.6468600871
35	0.7477272727	0.6447962964
36	0.7483501684	0.6420875452
37	0.7493602694	0.6388454551
38	0.7495622896	0.6364802596
39	0.7501851852	0.6336519528
40	0.7504545455	0.6319713949
41	0.751010101	0.6294944652
42	0.7513973064	0.6270826339
43	0.7531481481	0.6228495976
44	0.7546127946	0.6196679508
45	0.7547979798	0.6180984519
46	0.7552356902	0.6164014978
47	0.7556565657	0.6146838389
48	0.7552525253	0.6132005672
49	0.7562626263	0.6109926596
50	0.7565319865	0.6095823633
51	0.7562626263	0.6085705107
52	0.7565488215	0.6071121345
53	0.7567845118	0.6055149843
54	0.7576262626	0.6044019016
55	0.7584680135	0.6013934024
56	0.7589057239	0.6005343351
57	0.7599494949	0.5986081898
58	0.7603703704	0.597590752
59	0.7609427609	0.595682951
60	0.7612794613	0.5947014532
61	0.7614478114	0.5931516056
62	0.7615993266	0.5922962671
63	0.7617676768	0.5912475638
64	0.7622558923	0.5902365304
65	0.7625589226	0.5893034597
66	0.762996633	0.5887294255
67	0.7630976431	0.5880261587
68	0.7632996633	0.5871334822
69	0.7637373737	0.5862870921
70	0.7638383838	0.5855774452
71	0.7637542088	0.5848955264
72	0.7644276094	0.5836523315
73	0.7644107744	0.5827488106
74	0.7645622896	0.5819681852
75	0.7648148148	0.5813128305
76	0.7653198653	0.5803864699
77	0.7658249158	0.5798033496
78	0.7661279461	0.5791123574
79	0.7662121212	0.5782285518
80	0.7662962963	0.5776927024
81	0.766986532	0.5760370253
82	0.7672390572	0.5754887714
83	0.7674915825	0.5744859794
84	0.7675084175	0.5739347163
85	0.7681649832	0.5731063392
86	0.769040404	0.5722400645
87	0.7688215488	0.5714106568
88	0.7687205387	0.5706737294
89	0.7687373737	0.5702824604
90	0.769023569	0.5697416692
91	0.7691077441	0.5694000102
92	0.7692087542	0.5689322103
93	0.7692424242	0.5683849141
94	0.7692087542	0.5679404926
95	0.7696801347	0.5673212231
96	0.7700505051	0.5664296618
97	0.7703030303	0.5658113847
98	0.7703703704	0.5654987159
99	0.7704545455	0.565192884
100	0.7705723906	0.5645300858
101	0.770993266	0.5635229875
102	0.7712794613	0.5628138544
103	0.7713973064	0.5622762587
104	0.7713804714	0.5618131999
105	0.7716835017	0.5612750687
106	0.7722222222	0.5602445301
107	0.7726262626	0.5598676227
108	0.7731481481	0.5590213719
109	0.7735521886	0.5586912242
110	0.7736026936	0.5584071039
111	0.7736700337	0.5581477491
112	0.7736026936	0.5577958288
113	0.7742255892	0.5569296852
114	0.7743771044	0.5566864362
115	0.7743434343	0.5562515574
116	0.7746801347	0.5555069379
117	0.7749158249	0.5551525603
118	0.7750673401	0.5547125706
119	0.7754377104	0.5542713769
120	0.7755723906	0.5538207194
121	0.7758922559	0.5534429083
122	0.7758080808	0.5529164008
123	0.776010101	0.5523825549
124	0.7762626263	0.5520128943
125	0.7761616162	0.5515679936
126	0.7762626263	0.5510942835
127	0.7763299663	0.550680637
128	0.7765656566	0.5500238875
129	0.7766835017	0.549595941
130	0.7769023569	0.5492293957
131	0.776969697	0.5489625602
132	0.7772390572	0.548445786
133	0.7775084175	0.5478362321
134	0.7775925926	0.5475225404
135	0.778013468	0.5471163516
136	0.7782491582	0.5466242487
137	0.7783838384	0.5463725862
138	0.7786195286	0.5457318663
139	0.7788383838	0.5454237805
140	0.779040404	0.5450726409
141	0.7791750842	0.5445598117
142	0.7793771044	0.5442604203
143	0.7793097643	0.5439619528
144	0.7793939394	0.5437225623
145	0.7795454545	0.5430078864
146	0.7798316498	0.5424358077
147	0.7805387205	0.5415846649
148	0.7807239057	0.5413738113
149	0.7808922559	0.5410283588
150	0.780959596	0.5406040686
151	0.781010101	0.540422388
152	0.7810606061	0.5400910666
153	0.780993266	0.5396241438
154	0.7810606061	0.5394488812
155	0.7811279461	0.5392792369
156	0.7815319865	0.5385521463
157	0.7814478114	0.5381489983
158	0.7814983165	0.5379802804
159	0.7817003367	0.5377144219
160	0.7817845118	0.5375287211
161	0.7822390572	0.5371732983
162	0.7823063973	0.5367490611
163	0.7823737374	0.5365304189
164	0.7823232323	0.5362395475
165	0.7825084175	0.5358249398
166	0.7832154882	0.5350811729
167	0.7828619529	0.5348011378
168	0.7828787879	0.5344649498
169	0.783047138	0.5341060723
170	0.7830976431	0.5338767511
171	0.7830808081	0.533619758
172	0.7834175084	0.5331365013
173	0.7835016835	0.5329254846
174	0.783973064	0.5324619905
175	0.7843939394	0.5321729114
176	0.7843771044	0.5318321104
177	0.7841919192	0.5316050859
178	0.7842929293	0.5313401755
179	0.7846127946	0.5309727143
180	0.7852188552	0.5303164368
181	0.7855218855	0.5301217321
182	0.7854377104	0.5299421899
183	0.7857070707	0.5297500041
184	0.7858080808	0.5292482281
185	0.7861784512	0.5291079158
186	0.7862626263	0.5286405618
187	0.7865656566	0.5280879031
188	0.7866329966	0.5278726272
189	0.7867171717	0.5274956008
190	0.7867508418	0.5270058743
191	0.7872222222	0.5267518725
192	0.7872222222	0.5266403617
193	0.7875925926	0.5263451902
194	0.7877272727	0.5262097918
195	0.7877272727	0.5258924884
196	0.7878956229	0.5257675139
197	0.7881144781	0.5254678376
198	0.7881313131	0.5253347497
199	0.7884343434	0.5250705053
200	0.7886868687	0.5245696469
201	0.7887542088	0.5241484778
202	0.7888215488	0.5236622338
203	0.7893097643	0.5232742948
204	0.7894612795	0.5227869889
205	0.7896969697	0.5221817527
206	0.7897979798	0.5217452155
207	0.7899158249	0.5213436619
208	0.7900505051	0.5211098451
209	0.7902356902	0.5208775117
210	0.7902693603	0.5205873838
211	0.7902188552	0.5202685403
212	0.7902525253	0.5200837614
213	0.7905892256	0.5198630508
214	0.7907912458	0.5193697421
215	0.7910942761	0.518851806
216	0.7912626263	0.5186035524
217	0.7912794613	0.5183185108
218	0.7917340067	0.5177723965
219	0.7917676768	0.5176288233
220	0.7918686869	0.5174455663
221	0.791986532	0.5166440545
222	0.792003367	0.5164293369
223	0.792003367	0.5162567809
224	0.792020202	0.5161217389
225	0.7920538721	0.5155704456
226	0.7924915825	0.5154626971
227	0.7925084175	0.5152808051
228	0.7927104377	0.514971331
229	0.7929124579	0.5146084739
230	0.7927777778	0.5143739797
