iter	Passed	Remaining
0	59	125830
1	118	123893
2	182	127884
3	245	128762
4	309	129516
5	365	127643
6	414	123993
7	499	130597
8	550	128011
9	601	125720
10	650	123604
11	705	122741
12	768	123299
13	833	124229
14	898	124833
15	960	125122
16	1028	126053
17	1089	126047
18	1149	125903
19	1204	125277
20	1272	126008
21	1350	127515
22	1411	127421
23	1476	127717
24	1535	127428
25	1592	127040
26	1656	127198
27	1717	127127
28	1783	127344
29	1843	127173
30	1893	126379
31	1961	126788
32	2029	127141
33	2096	127384
34	2146	126669
35	2172	124567
36	2234	124569
37	2288	124157
38	2346	124016
39	2409	124087
40	2462	123657
41	2512	123110
42	2565	122734
43	2614	122185
44	2664	121696
45	2714	121205
46	2775	121254
47	2838	121353
48	2898	121317
49	2960	121366
50	3011	120984
51	3064	120692
52	3114	120289
53	3163	119869
54	3214	119536
55	3264	119167
56	3315	118846
57	3372	118726
58	3435	118861
59	3500	119007
60	3557	118906
61	3617	118924
62	3682	119056
63	3734	118793
64	3786	118539
65	3835	118198
66	3884	117857
67	3939	117713
68	4002	117808
69	4067	117945
70	4133	118111
71	4189	118000
72	4246	117899
73	4302	117790
74	4359	117700
75	4426	117871
76	4489	117958
77	4549	117942
78	4616	118112
79	4671	117947
80	4722	117714
81	4774	117500
82	4822	117193
83	4872	116951
84	4922	116688
85	4969	116380
86	5021	116196
87	5072	115972
88	5123	115763
89	5180	115700
90	5238	115650
91	5305	115788
92	5367	115828
93	5422	115711
94	5475	115572
95	5536	115565
96	5599	115635
97	5662	115677
98	5721	115644
99	5787	115752
100	5837	115544
101	5893	115439
102	5954	115455
103	6009	115341
104	6078	115496
105	6140	115503
106	6193	115352
107	6254	115353
108	6317	115389
109	6378	115391
110	6442	115436
111	6500	115390
112	6558	115328
113	6622	115371
114	6689	115461
115	6762	115656
116	6819	115579
117	6879	115558
118	6948	115672
119	7013	115730
120	7090	115968
121	7164	116163
122	7223	116098
123	7290	116175
124	7358	116262
125	7424	116316
126	7505	116594
127	7565	116561
128	7633	116627
129	7699	116679
130	7766	116735
131	7826	116686
132	7886	116643
133	7958	116763
134	8033	116927
135	8106	117074
136	8170	117064
137	8246	117237
138	8325	117459
139	8395	117530
140	8458	117518
141	8512	117379
142	8582	117456
143	8649	117490
144	8732	117733
145	8793	117691
146	8862	117738
147	8933	117831
148	8998	117830
149	9063	117823
150	9124	117777
151	9195	117845
152	9265	117908
153	9333	117946
154	9391	117848
155	9452	117792
156	9519	117810
157	9594	117921
158	9664	117984
159	9726	117929
160	9790	117916
161	9863	117999
162	9929	118000
163	9984	117866
164	10040	117745
165	10093	117592
166	10148	117472
167	10204	117352
168	10260	117231
169	10314	117100
170	10367	116954
171	10437	116996
172	10507	117043
173	10578	117093
174	10638	117023
175	10698	116953
176	10762	116927
177	10839	117037
178	10910	117088
179	10969	117002
180	11025	116890
181	11079	116756
182	11133	116627
183	11194	116567
184	11254	116499
185	11316	116454
186	11374	116356
187	11429	116237
188	11488	116161
189	11547	116084
190	11625	116189
191	11708	116351
192	11766	116261
193	11821	116143
194	11879	116057
195	11934	115936
196	11993	115855
197	12049	115746
198	12111	115701
199	12175	115664
200	12232	115571
201	12292	115500
202	12354	115449
203	12421	115442
204	12477	115342
205	12533	115235
206	12588	115119
207	12648	115052
208	12705	114957
209	12763	114869
210	12822	114795
211	12886	114758
212	12943	114671
213	13004	114608
214	13062	114520
215	13123	114464
216	13198	114526
217	13298	114804
218	13373	114862
219	13479	115190
220	13575	115418
221	13696	115861
222	13792	116094
223	13883	116273
224	13968	116401
225	14039	116412
226	14115	116471
227	14186	116477
228	14269	116585
229	14347	116648
230	14424	116703
231	14499	116744
232	14573	116776
233	14654	116861
234	14728	116884
235	14822	117074
236	14905	117167
237	14981	117205
238	15060	117269
239	15134	117289
240	15211	117336
241	15298	117455
242	15379	117533
243	15448	117507
244	15514	117468
245	15578	117406
246	15648	117395
247	15710	117323
248	15768	117217
249	15829	117140
250	15885	117021
251	15947	116948
252	16018	116938
253	16111	117094
254	16180	117072
255	16250	117054
256	16312	116979
257	16373	116901
258	16431	116800
259	16492	116717
260	16559	116677
261	16624	116623
262	16687	116556
263	16752	116503
264	16810	116407
265	16869	116313
266	16925	116194
267	16994	116174
